gene	hoco_tf
TGIF2LX	TF2LX
RHOXF1	RHXF1
ZBTB33	KAISO
ZBTB48	ZBT48
ZBTB17	ZBT17
ZNF436	ZN436
ZNF281	ZN281
ZBTB18	ZBT18
ZNF214	ZN214
HOXC9	HXC9
ZNF140	ZN140
ZNF770	ZN770
ZNF263	ZN263
ZNF768	ZN768
THAP11	THA11
HOXB4	HXB4
ZBTB14	ZBT14
ZNF554	ZN554
ZNF317	ZN317
ZNF121	ZN121
ZNF136	ZN136
ZNF563	ZN563
ZNF490	ZN490
ZNF708	ZN708
ZNF257	ZN257
ZNF146	OZF
ZNF260	ZN260
ZNF382	ZN382
ZNF528	ZN528
ZNF320	ZN320
ZNF816	ZN816
ZNF331	ZN331
ZNF582	ZN582
ZNF667	ZN667
ZNF264	ZN264
ZNF547	ZN547
ZNF549	ZN549
ZNF134	ZN134
ZNF586	ZN586
ZNF418	ZN418
ZNF329	ZN329
ZNF274	ZN274
ZSCAN22	ZSC22
ZNF324	Z324A
ZNF341	ZN341
ZNF335	ZN335
ZFP64	ZF64A
ZNF502	ZN502
SMARCA5	SMCA5
ZNF354A	Z354A
ZNF322	ZN322
ZSCAN31	ZSC31
TBXT	BRAC
ZNF680	ZN680
ZNF394	ZN394
ZNF467	ZN467
ZNF250	ZN250
SMARCA1	SMCA1
ZNF449	ZN449
