pathway	gene
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ABCB10
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	NCK2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	FAF2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	WFS1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TMEM129
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	YOD1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TMED2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TRAM1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CCND1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	ERMP1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	EDEM2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	NFE2L2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	TMTC4
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	AGR2
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	RACK1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	CDK5RAP3
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	MBTPS1
RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	MBTPS2
UNFOLDED_PROTEIN_BINDING	NUDC
UNFOLDED_PROTEIN_BINDING	CCDC115
UNFOLDED_PROTEIN_BINDING	CRYAB
UNFOLDED_PROTEIN_BINDING	SCG5
UNFOLDED_PROTEIN_BINDING	ERO1B
UNFOLDED_PROTEIN_BINDING	NACAD
UNFOLDED_PROTEIN_BINDING	RUVBL2
UNFOLDED_PROTEIN_BINDING	PFDN6
UNFOLDED_PROTEIN_BINDING	SHQ1
UNFOLDED_PROTEIN_BINDING	HSP90B1
UNFOLDED_PROTEIN_BINDING	TAPBP
UNFOLDED_PROTEIN_BINDING	TIMM10B
UNFOLDED_PROTEIN_BINDING	PET100
UNFOLDED_PROTEIN_BINDING	RP2
UNFOLDED_PROTEIN_BINDING	TUBB4B
UNFOLDED_PROTEIN_BINDING	HSPB6
UNFOLDED_PROTEIN_BINDING	TMEM67
UNFOLDED_PROTEIN_BINDING	PFDN5
UNFOLDED_PROTEIN_BINDING	SRSF12
UNFOLDED_PROTEIN_BINDING	AIPL1
UNFOLDED_PROTEIN_BINDING	PDRG1
UNFOLDED_PROTEIN_BINDING	SYVN1
UNFOLDED_PROTEIN_BINDING	CHAF1B
UNFOLDED_PROTEIN_BINDING	HSP90B2P
UNFOLDED_PROTEIN_BINDING	HYOU1
UNFOLDED_PROTEIN_BINDING	SCAP
UNFOLDED_PROTEIN_BINDING	TTC1
UNFOLDED_PROTEIN_BINDING	NACA
UNFOLDED_PROTEIN_BINDING	GRPEL1
UNFOLDED_PROTEIN_BINDING	SIL1
UNFOLDED_PROTEIN_BINDING	PFDN4
UNFOLDED_PROTEIN_BINDING	CANX
UNFOLDED_PROTEIN_BINDING	PPIB
UNFOLDED_PROTEIN_BINDING	CHAF1A
UNFOLDED_PROTEIN_BINDING	VBP1
UNFOLDED_PROTEIN_BINDING	NUDCD2
UNFOLDED_PROTEIN_BINDING	GRPEL2
UNFOLDED_PROTEIN_BINDING	NAP1L4
UNFOLDED_PROTEIN_BINDING	NDUFAF1
UNFOLDED_PROTEIN_BINDING	TOMM20
UNFOLDED_PROTEIN_BINDING	NPM1
UNFOLDED_PROTEIN_BINDING	LMAN1
UNFOLDED_PROTEIN_BINDING	NUDCD3
UNFOLDED_PROTEIN_BINDING	PPIA
UNFOLDED_PROTEIN_BINDING	AIP
UNFOLDED_PROTEIN_BINDING	HEATR3
UNFOLDED_PROTEIN_BINDING	SPG7
UNFOLDED_PROTEIN_BINDING	CLPX
UNFOLDED_PROTEIN_BINDING	SRSF10
UNFOLDED_PROTEIN_BINDING	TRAP1
